Ano;Mês;Acessos
2020;8;15129433
2020;7;15060698
2020;6;15078395
2020;5;15145723
2020;4;15221399
2020;3;15247316
2020;2;15340576
2020;1;15410300
2019;12;15684362
2019;11;15924884
2019;10;16045645
2019;9;16142305
2019;8;16476706
2019;7;16690570
2019;6;16827338
2019;5;16942785
2019;4;17109207
2019;3;17251556
2019;2;17392600
2019;1;17512568
2018;12;17514476
2018;11;17641765
2018;10;17755318
2018;9;17830778
2018;8;17851566
2018;7;17866415
2018;6;17940970
2018;5;17935208
2018;4;17968082
2018;3;18002718
2018;2;17991807
2018;1;18104057
2017;12;18124655
2017;11;18100637
2017;10;18116775
2017;9;18217755
2017;8;18333367
2017;7;18459117
2017;6;18588533
2017;5;18686402
2017;4;18821207
2017;3;18688576
2017;2;18658674
2017;1;18714082
2016;12;18821275
2016;11;18922346
2016;10;18999290
2016;9;19012106
2016;8;18968298
2016;7;18976406
2016;6;18931774
2016;5;18925565
2016;4;18926435
2016;3;18969302
2016;2;19004581
2016;1;19074408
2015;12;19121783
2015;11;19227339
2015;10;19414358
2015;9;19526316
2015;8;19628369
2015;7;19681448
2015;6;19649404
2015;5;19730720
2015;4;19770683
2015;3;19774818
2015;2;19725499
2015;1;19660289
2014;12;19569339
2014;11;19842737
2014;10;19667395
2014;9;19448581
2014;8;19253487
2014;7;19089834
2014;6;18973350
2014;5;18822809
2014;4;18630457
2014;3;18456958
2014;2;18307112
2014;1;18204337
2013;12;18021187
2013;11;17923891
2013;10;17768567
2013;9;17602871
2013;8;17507518
2013;7;17312384
2013;6;16980559
2013;5;16939901
2013;4;16978615
2013;3;16812050
2013;2;16665392
2013;1;16505673
2012;12;16188955
2012;11;15968121
2012;10;15700558
2012;9;15399435
2012;8;15122703
2012;7;14809151
2012;6;14535804
2012;5;14295810
2012;4;13959439
2012;3;13675633
2012;2;13319510
2012;1;13054002
